date_str,product_category,product_line,price_per_unit,competitor_price,units_sold,revenue,promotion_spend,market_share
2022-08-16,Dairy,Premium,2.83,3.15,61312,173512.96,19010.37,0.2001
2024-09-30,Dairy,Premium,19.38,21.51,3497,67771.86,0,0.0734
2022-10-04,Personal Care,Standard,26.87,29.51,1802,48419.74,0,0.0563
2022-10-28,Snacks,Economy,22.05,24.06,2891,63746.55,21835.59,0.1807
2023-04-01,Personal Care,Premium,19.32,18.52,3602,69590.64,16653.43,0.2031
2021-08-22,Personal Care,Economy,10.74,12.05,10491,112673.34,47911.17,0.0943
2021-07-30,Snacks,Standard,10.88,11.54,8298,90282.24,0,0.1031
2024-07-10,Frozen Foods,Standard,34.56,38.57,2119,73232.64,0,0.2193
2024-07-25,Personal Care,Standard,39.23,41.96,1728,67789.44,3414.31,0.1408
2022-07-17,Personal Care,Premium,17.46,15.29,2965,51768.9,0,0.1606
2022-08-11,Beverages,Economy,39.23,45.09,1438,56412.74,0,0.1888
2024-02-10,Beverages,Standard,41.13,43.19,1685,69304.05,30250.29,0.3373
2023-07-12,Beverages,Standard,44.25,38.92,886,39205.5,0,0.2623
2023-06-19,Personal Care,Economy,28.42,27.78,2031,57721.02,0,0.2823
2024-10-22,Personal Care,Premium,36.04,38.8,2213,79756.52,4725.3,0.1352
2024-09-06,Personal Care,Premium,16.67,17.57,6977,116306.59,17491.04,0.2595
2023-03-14,Snacks,Economy,32.63,28.7,1977,64509.51,0,0.1485
2021-09-19,Personal Care,Premium,29.96,29.91,2054,61537.84,18129.88,0.1143
2023-09-23,Snacks,Premium,45.0,40.69,1505,67725.0,39406.01,0.2119
2023-12-15,Beverages,Economy,16.81,18.8,4297,72232.57,18835.99,0.2994
2024-07-03,Snacks,Economy,21.1,20.97,2703,57033.3,0,0.1833
2022-08-07,Frozen Foods,Premium,25.2,24.15,2499,62974.8,0,0.3005
2023-01-24,Personal Care,Standard,22.12,20.98,4827,106773.24,26372.99,0.2951
2024-05-23,Snacks,Standard,4.72,4.81,31661,149439.92,46714.68,0.2048
2021-09-13,Dairy,Premium,34.93,33.03,1313,45863.09,0,0.1812
2022-03-31,Frozen Foods,Standard,42.05,41.85,1524,64084.2,18698.07,0.0745
2022-04-05,Beverages,Standard,42.06,48.1,1537,64646.22,0,0.0913
2022-08-11,Frozen Foods,Economy,37.82,42.19,1606,60738.92,0,0.3218
2021-02-08,Dairy,Premium,37.99,39.59,1518,57668.82,0,0.0834
2022-08-14,Snacks,Standard,7.68,7.17,12817,98434.56,0,0.0688
2023-10-21,Personal Care,Economy,3.2,3.3,44592,142694.4,7178.84,0.2344
2022-05-08,Personal Care,Standard,10.46,11.34,7320,76567.2,0,0.336
2024-01-20,Personal Care,Economy,26.05,25.7,2638,68719.9,0,0.3443
2022-06-04,Beverages,Standard,36.01,34.95,1724,62081.24,0,0.2815
2022-11-12,Snacks,Premium,17.47,16.92,4914,85847.58,0,0.2554
2024-11-25,Frozen Foods,Economy,10.25,9.2,10385,106446.25,0,0.0611
2022-02-17,Beverages,Premium,40.15,38.56,2066,82949.9,19911.2,0.192
2021-03-16,Snacks,Standard,17.67,19.85,3633,64195.11,0,0.0873
2023-01-24,Frozen Foods,Standard,34.09,39.65,2144,73088.96,48686.18,0.1993
2023-11-30,Dairy,Premium,33.4,29.31,2107,70373.8,0,0.2136
2022-10-20,Beverages,Premium,16.44,15.68,5017,82479.48,0,0.1
2023-06-29,Dairy,Standard,4.3,4.96,27426,117931.8,49907.53,0.344
2021-04-28,Beverages,Economy,29.59,28.91,2289,67731.51,0,0.3358
2021-10-20,Personal Care,Economy,35.71,30.79,1861,66456.31,38925.77,0.1649
2024-03-07,Beverages,Economy,9.02,9.09,9033,81477.66,22196.96,0.0913
2023-01-22,Frozen Foods,Standard,30.11,28.22,2524,75997.64,36783.74,0.1661
2024-02-25,Beverages,Standard,35.44,38.86,2281,80838.64,30593.86,0.3496
2022-02-14,Beverages,Premium,38.75,39.07,1407,54521.25,0,0.0763
2024-10-28,Dairy,Economy,17.27,15.07,5140,88767.8,0,0.3054
2024-12-28,Snacks,Standard,24.12,21.53,3957,95442.84,6943.84,0.0579
2024-02-09,Personal Care,Standard,22.36,26.7,2750,61490.0,44212.32,0.1694
2023-09-08,Personal Care,Standard,35.19,40.05,2238,78755.22,48618.99,0.185
2024-10-24,Personal Care,Standard,7.95,9.06,12014,95511.3,0,0.2803
2021-09-22,Frozen Foods,Economy,41.21,35.83,1341,55262.61,7650.77,0.1468
2024-12-23,Snacks,Standard,42.77,44.12,1309,55985.93,3943.0,0.3369
2022-07-17,Snacks,Economy,15.37,15.93,3880,59635.6,0,0.3325
2021-11-12,Snacks,Economy,29.04,33.85,1918,55698.72,46196.49,0.3091
2021-06-16,Beverages,Economy,35.27,33.25,2202,77664.54,28606.86,0.0591
2024-07-08,Personal Care,Standard,29.78,28.46,2418,72008.04,40367.47,0.1861
2024-11-11,Beverages,Premium,21.18,21.59,3542,75019.56,30333.01,0.2655
2022-12-09,Frozen Foods,Premium,34.83,35.88,1617,56320.11,12086.89,0.1849
2021-10-16,Beverages,Premium,14.83,14.6,4308,63887.64,0,0.3096
2021-11-24,Dairy,Economy,33.15,30.38,2184,72399.6,49798.47,0.3137
2023-10-16,Beverages,Premium,42.67,43.82,1064,45400.88,0,0.1559
2021-04-14,Dairy,Standard,27.89,31.93,1945,54246.05,0,0.0525
2021-08-09,Frozen Foods,Premium,40.0,44.19,1284,51360.0,0,0.1702
2024-03-13,Personal Care,Premium,17.91,17.03,5111,91538.01,22517.72,0.2976
2024-06-30,Personal Care,Premium,7.97,7.04,14713,117262.61,49339.38,0.1597
2021-10-23,Snacks,Economy,24.14,24.74,3029,73120.06,6851.82,0.1921
2023-07-25,Snacks,Economy,40.46,36.37,1226,49603.96,0,0.1679
2024-06-16,Dairy,Economy,16.8,19.15,4855,81564.0,0,0.1399
2021-02-04,Dairy,Standard,31.14,37.15,2278,70936.92,0,0.2676
2024-11-10,Beverages,Economy,22.67,26.94,3407,77236.69,0,0.2233
2021-04-16,Personal Care,Standard,9.75,10.43,10545,102813.75,0,0.0943
2024-10-26,Snacks,Premium,26.83,29.38,2791,74882.53,22051.93,0.1739
2022-02-22,Frozen Foods,Economy,35.44,41.54,1866,66131.04,0,0.0687
2021-10-10,Personal Care,Premium,26.34,31.59,2227,58659.18,0,0.337
2023-07-31,Personal Care,Standard,25.72,27.95,2749,70704.28,0,0.2911
2022-06-26,Personal Care,Standard,10.67,9.99,6500,69355.0,0,0.3419
2022-09-02,Dairy,Economy,11.31,12.4,11369,128583.39,17440.16,0.2886
2022-07-15,Dairy,Premium,26.87,27.95,2195,58979.65,0,0.1535
2021-10-27,Dairy,Premium,14.72,16.19,5469,80503.68,22118.81,0.1937
2022-02-18,Personal Care,Standard,42.15,46.1,1716,72329.4,30783.85,0.1227
2024-10-03,Personal Care,Premium,29.61,25.71,2334,69109.74,0,0.0802
2021-10-09,Beverages,Economy,44.06,39.89,1513,66662.78,0,0.1927
2024-08-25,Snacks,Standard,16.15,17.38,3423,55281.45,0,0.2222
2024-01-01,Beverages,Premium,20.26,23.16,2441,49454.66,0,0.3009
2023-10-12,Snacks,Economy,43.39,50.94,886,38443.54,0,0.2204
2021-08-08,Dairy,Standard,21.81,23.43,3791,82681.71,0,0.0903
2023-10-30,Frozen Foods,Standard,10.69,9.51,8294,88662.86,22945.72,0.1059
2022-11-22,Dairy,Economy,31.16,28.59,2093,65217.88,0,0.1716
2023-05-26,Personal Care,Standard,6.19,6.71,17661,109321.59,7030.59,0.1244
2022-06-19,Frozen Foods,Premium,21.49,20.27,4087,87829.63,29123.04,0.1285
2023-01-07,Snacks,Premium,30.88,31.28,3065,94647.2,34303.68,0.3163
2022-09-29,Beverages,Economy,41.44,39.5,1109,45956.96,0,0.0901
2021-11-10,Frozen Foods,Economy,44.53,43.67,1516,67507.48,0,0.2772
2024-09-22,Snacks,Premium,31.41,33.25,1942,60998.22,0,0.2085
2023-01-11,Beverages,Economy,7.27,8.29,10529,76545.83,0,0.211
2021-12-03,Dairy,Economy,21.28,23.15,3152,67074.56,0,0.3197
2023-07-02,Beverages,Standard,8.11,8.07,11513,93370.43,0,0.2518
2022-09-24,Beverages,Standard,13.31,11.33,6966,92717.46,3651.48,0.2601
2024-01-14,Beverages,Premium,44.41,45.09,1190,52847.9,8999.07,0.2425
2024-08-15,Frozen Foods,Standard,44.7,43.98,1504,67228.8,0,0.1627
2024-10-30,Personal Care,Premium,30.28,29.42,2551,77244.28,26862.92,0.2684
2022-04-02,Beverages,Premium,44.09,44.62,1174,51761.66,0,0.1638
2022-04-16,Snacks,Standard,17.21,16.29,4746,81678.66,0,0.0839
2024-09-14,Frozen Foods,Economy,35.06,40.65,1576,55254.56,10304.08,0.0601
2024-05-09,Beverages,Premium,33.97,33.66,2630,89341.1,10863.46,0.0669
2023-10-29,Dairy,Premium,37.17,41.11,2119,78763.23,29895.88,0.1462
2022-09-11,Snacks,Economy,24.65,24.52,3456,85190.4,27835.91,0.2706
2021-12-25,Frozen Foods,Economy,23.56,28.04,3065,72211.4,0,0.2857
2022-10-15,Frozen Foods,Standard,8.84,8.68,9784,86490.56,0,0.3048
2022-09-08,Snacks,Standard,41.38,43.32,1382,57187.16,0,0.0902
2022-05-13,Dairy,Premium,16.54,14.52,4062,67185.48,0,0.2107
2022-01-26,Beverages,Standard,18.53,19.67,5616,104064.48,3639.22,0.2263
2024-10-07,Personal Care,Premium,22.87,26.4,2561,58570.07,47850.99,0.3311
2021-08-29,Frozen Foods,Premium,32.06,35.15,2079,66652.74,11966.55,0.1349
2023-08-13,Personal Care,Economy,17.77,16.73,4004,71151.08,0,0.0796
2023-08-20,Dairy,Premium,18.25,18.16,3226,58874.5,0,0.0938
2022-06-19,Personal Care,Economy,27.11,27.01,2686,72817.46,16493.26,0.3
2023-10-20,Personal Care,Economy,42.6,41.24,1278,54442.8,0,0.2671
2023-10-02,Frozen Foods,Premium,33.64,32.74,1772,59610.08,27327.32,0.3168
2024-08-07,Beverages,Economy,3.94,4.52,31297,123310.18,0,0.2793
2023-04-25,Snacks,Economy,12.34,13.54,7442,91834.28,25286.65,0.2354
2024-09-27,Personal Care,Standard,30.52,26.11,1880,57377.6,0,0.055
2022-07-17,Personal Care,Standard,3.23,3.66,43567,140721.41,0,0.3229
2021-08-08,Beverages,Economy,8.83,8.1,11840,104547.2,0,0.1302
2023-03-24,Beverages,Standard,43.27,43.73,1387,60015.49,34861.82,0.2984
2021-06-15,Beverages,Premium,19.72,19.37,3791,74758.52,0,0.2609
2021-06-19,Frozen Foods,Standard,29.91,28.89,2618,78304.38,0,0.3184
2021-03-29,Snacks,Premium,40.8,44.57,1174,47899.2,0,0.3272
2024-11-02,Dairy,Economy,26.45,22.79,2125,56206.25,0,0.3384
2024-04-17,Snacks,Economy,37.39,43.94,1982,74106.98,28197.91,0.3048
2024-10-18,Personal Care,Standard,18.81,20.86,4148,78023.88,0,0.0735
2022-12-10,Beverages,Premium,21.08,24.11,5111,107739.88,38450.28,0.169
2022-10-31,Beverages,Economy,14.12,16.91,4940,69752.8,0,0.3323
2023-06-04,Snacks,Economy,27.4,26.93,2004,54909.6,0,0.1239
2021-05-31,Beverages,Standard,9.05,9.95,11030,99821.5,0,0.145
2021-08-07,Beverages,Premium,42.58,42.82,980,41728.4,0,0.0762
2023-06-02,Frozen Foods,Economy,26.08,25.89,2301,60010.08,17695.71,0.2294
2022-10-27,Frozen Foods,Premium,14.9,14.69,7837,116771.3,45056.8,0.3435
2024-03-17,Personal Care,Premium,31.63,28.76,1866,59021.58,13420.34,0.1002
2022-07-20,Frozen Foods,Standard,23.08,20.24,3837,88557.96,12329.5,0.2281
2022-02-05,Frozen Foods,Premium,8.26,7.04,12596,104042.96,42080.67,0.3087
2023-06-21,Dairy,Standard,37.16,42.76,1201,44629.16,0,0.1462
2024-11-24,Snacks,Standard,15.85,18.82,4071,64525.35,0,0.2585
2023-10-03,Personal Care,Premium,16.35,15.5,4108,67165.8,0,0.3296
2022-02-14,Personal Care,Economy,10.15,11.35,13144,133411.6,36360.67,0.1129
2022-08-20,Beverages,Standard,31.1,27.95,1919,59680.9,12634.08,0.1769
2023-02-12,Beverages,Standard,44.6,45.39,1217,54278.2,0,0.3261
2024-11-17,Frozen Foods,Economy,4.06,4.83,32463,131799.78,0,0.2281
2021-06-24,Beverages,Premium,30.45,29.67,1447,44061.15,0,0.3451
2024-10-19,Frozen Foods,Standard,43.54,43.57,1574,68531.96,12936.92,0.2056
2024-04-03,Personal Care,Premium,21.45,21.17,3307,70935.15,0,0.2001
2022-12-08,Beverages,Standard,6.94,6.91,10481,72738.14,0,0.3322
2021-10-18,Dairy,Standard,17.08,19.21,3838,65553.04,0,0.0793
2024-11-27,Frozen Foods,Standard,5.35,4.63,13628,72909.8,0,0.1529
2021-08-12,Snacks,Economy,12.87,11.73,9724,125147.88,27992.45,0.1196
2023-04-10,Snacks,Premium,29.72,29.76,2102,62471.44,30705.35,0.2277
2023-03-08,Beverages,Economy,11.63,11.02,8196,95319.48,0,0.2232
2024-01-05,Snacks,Standard,16.35,16.52,5680,92868.0,43131.83,0.2417
2024-05-07,Frozen Foods,Economy,19.18,17.07,3648,69968.64,22893.03,0.2521
2022-09-02,Personal Care,Economy,6.1,5.47,16302,99442.2,15269.0,0.258
2023-11-13,Frozen Foods,Standard,27.85,29.28,2218,61771.3,0,0.2112
2024-08-14,Snacks,Economy,9.59,9.12,11980,114888.2,42099.26,0.3097
2021-01-20,Frozen Foods,Premium,10.79,10.62,8377,90387.83,0,0.1727
2023-10-05,Frozen Foods,Economy,38.2,39.0,2144,81900.8,1543.04,0.1376
2022-07-17,Snacks,Economy,14.77,16.59,5935,87659.95,0,0.1986
2023-11-13,Beverages,Economy,7.35,8.24,11629,85473.15,0,0.2968
2021-03-27,Frozen Foods,Economy,11.79,11.78,7468,88047.72,0,0.1243
2021-03-08,Frozen Foods,Standard,17.31,19.66,5380,93127.8,0,0.2827
2022-05-01,Snacks,Economy,27.49,26.74,2456,67515.44,0,0.0998
2021-10-13,Snacks,Premium,36.73,38.55,1651,60641.23,0,0.1005
2024-12-12,Dairy,Standard,26.84,31.76,2910,78104.4,0,0.2946
2021-10-05,Frozen Foods,Premium,44.68,51.54,1285,57413.8,43303.94,0.2634
2022-05-22,Frozen Foods,Standard,8.54,9.15,9620,82154.8,0,0.0727
2021-07-10,Frozen Foods,Economy,34.37,37.57,1655,56882.35,0,0.1964
2024-04-06,Beverages,Economy,6.46,7.69,16717,107991.82,0,0.305
2023-12-31,Frozen Foods,Premium,43.65,49.7,1114,48626.1,0,0.1351
2024-01-26,Personal Care,Premium,26.56,27.09,2167,57555.52,34127.6,0.0799
2023-07-31,Beverages,Premium,42.0,38.02,1698,71316.0,0,0.1783
2024-11-11,Snacks,Economy,15.33,17.72,3674,56322.42,0,0.1581
2021-06-18,Dairy,Economy,40.91,37.14,1898,77647.18,15275.46,0.1202
2024-09-04,Beverages,Economy,6.55,6.06,18566,121607.3,29683.97,0.1835
